Treatment,Concentration ,Days post infection,Insect.Species,Mortality,Wastes,Replicates
Control,Control,0,C.butyrospermi,0,0,1
Control,Control,0,C.butyrospermi,0,0,2
Control,Control,0,C.butyrospermi,0,0,3
Control,Control,0,C.butyrospermi,0,0,4
Control,Control,0,C.butyrospermi,0,0,5
Control,Control,0,FAW,0,0,1
Control,Control,0,FAW,0,0,2
Control,Control,0,FAW,0,0,3
Control,Control,0,FAW,0,0,4
Control,Control,0,FAW,0,18.5,5
M.pingshaense,C1,0,C.butyrospermi,0,0,1
M.pingshaense,C1,0,C.butyrospermi,0,0,2
M.pingshaense,C1,0,C.butyrospermi,0,32.46,3
M.pingshaense,C1,0,C.butyrospermi,0,31.81,4
M.pingshaense,C1,0,C.butyrospermi,0,32.8,5
M.pingshaense,C1,0,FAW,0,21.3,1
M.pingshaense,C1,0,FAW,0,21.2,2
M.pingshaense,C1,0,FAW,0,19.3,3
M.pingshaense,C1,0,FAW,0,17.4,4
M.pingshaense,C1,0,FAW,0,15.5,5
Metarhizium sp.FAW,C1,0,C.butyrospermi,0,0,1
Metarhizium sp.FAW,C1,0,C.butyrospermi,0,0,2
Metarhizium sp.FAW,C1,0,C.butyrospermi,0,0,3
Metarhizium sp.FAW,C1,0,C.butyrospermi,0,0,4
Metarhizium sp.FAW,C1,0,C.butyrospermi,0,0,5
Metarhizium sp.FAW,C1,0,FAW,0,0,1
Metarhizium sp.FAW,C1,0,FAW,0,0,2
Metarhizium sp.FAW,C1,0,FAW,0,0,3
Metarhizium sp.FAW,C1,0,FAW,0,0,4
Metarhizium sp.FAW,C1,0,FAW,0,0,5
Trichoderma sp.FAW,C1,0,C.butyrospermi,0,0,1
Trichoderma sp.FAW,C1,0,C.butyrospermi,0,0,2
Trichoderma sp.FAW,C1,0,C.butyrospermi,0,0,3
Trichoderma sp.FAW,C1,0,C.butyrospermi,0,0,4
Trichoderma sp.FAW,C1,0,C.butyrospermi,0,0,5
Trichoderma sp.FAW,C1,0,FAW,0,0,1
Trichoderma sp.FAW,C1,0,FAW,0,0,2
Trichoderma sp.FAW,C1,0,FAW,0,0,3
Trichoderma sp.FAW,C1,0,FAW,0,0,4
Trichoderma sp.FAW,C1,0,FAW,0,0,5
Control,Control,1,C.butyrospermi,0,16.8,1
Control,Control,1,C.butyrospermi,0,20.6,2
Control,Control,1,C.butyrospermi,0,20.3,3
Control,Control,1,C.butyrospermi,0,22.7,4
Control,Control,1,C.butyrospermi,0,25.7,5
Control,Control,1,FAW,0,18.5,1
Control,Control,1,FAW,0,21.7,2
Control,Control,1,FAW,0,15.6,3
Control,Control,1,FAW,0,16.2,4
Control,Control,1,FAW,0,19.2,5
M.pingshaense,C1,1,C.butyrospermi,0,29.8,1
M.pingshaense,C1,1,C.butyrospermi,0,34.65,2
M.pingshaense,C1,1,C.butyrospermi,0,32.1,3
M.pingshaense,C1,1,C.butyrospermi,0,31.9,4
M.pingshaense,C1,1,C.butyrospermi,0,32.9,5
M.pingshaense,C1,1,FAW,0,21.2,1
M.pingshaense,C1,1,FAW,0,21.4,2
M.pingshaense,C1,1,FAW,0,19.4,3
M.pingshaense,C1,1,FAW,0,17.2,4
M.pingshaense,C1,1,FAW,0,15.3,5
Metarhizium sp.FAW,C1,1,C.butyrospermi,0,25.56,1
Metarhizium sp.FAW,C1,1,C.butyrospermi,0,29.2,2
Metarhizium sp.FAW,C1,1,C.butyrospermi,0,28.6,3
Metarhizium sp.FAW,C1,1,C.butyrospermi,0,30.3,4
Metarhizium sp.FAW,C1,1,C.butyrospermi,0,31.7,5
Metarhizium sp.FAW,C1,1,FAW,0,17.9,1
Metarhizium sp.FAW,C1,1,FAW,0,19.53,2
Metarhizium sp.FAW,C1,1,FAW,0,20.14,3
Metarhizium sp.FAW,C1,1,FAW,0,17.7,4
Metarhizium sp.FAW,C1,1,FAW,0,19.36,5
Trichoderma sp.FAW,C1,1,C.butyrospermi,0,34.47,1
Trichoderma sp.FAW,C1,1,C.butyrospermi,0,28.4,2
Trichoderma sp.FAW,C1,1,C.butyrospermi,0,30.3,3
Trichoderma sp.FAW,C1,1,C.butyrospermi,0,29.3,4
Trichoderma sp.FAW,C1,1,C.butyrospermi,0,0,5
Trichoderma sp.FAW,C1,1,FAW,0,19.5,1
Trichoderma sp.FAW,C1,1,FAW,0,18.9,2
Trichoderma sp.FAW,C1,1,FAW,0,17.5,3
Trichoderma sp.FAW,C1,1,FAW,0,19.7,4
Trichoderma sp.FAW,C1,1,FAW,0,20.35,5
Control,Control,2,C.butyrospermi,1,17.3,1
Control,Control,2,C.butyrospermi,0,21.4,2
Control,Control,2,C.butyrospermi,0,20.6,3
Control,Control,2,C.butyrospermi,0,23.9,4
Control,Control,2,C.butyrospermi,0,25.8,5
Control,Control,2,FAW,0,18.9,1
Control,Control,2,FAW,1,21,2
Control,Control,2,FAW,0,15.6,3
Control,Control,2,FAW,0,15.9,4
Control,Control,2,FAW,1,17.6,5
M.pingshaense,C1,2,C.butyrospermi,0,29.5,1
M.pingshaense,C1,2,C.butyrospermi,0,30.1,2
M.pingshaense,C1,2,C.butyrospermi,1,30.23,3
M.pingshaense,C1,2,C.butyrospermi,0,32.3,4
M.pingshaense,C1,2,C.butyrospermi,0,31.5,5
M.pingshaense,C1,2,FAW,0,21.4,1
M.pingshaense,C1,2,FAW,0,20.6,2
M.pingshaense,C1,2,FAW,0,19.4,3
M.pingshaense,C1,2,FAW,0,17.3,4
M.pingshaense,C1,2,FAW,0,15.2,5
Metarhizium sp.FAW,C1,2,C.butyrospermi,1,22.4,1
Metarhizium sp.FAW,C1,2,C.butyrospermi,1,24.2,2
Metarhizium sp.FAW,C1,2,C.butyrospermi,2,22.3,3
Metarhizium sp.FAW,C1,2,C.butyrospermi,1,29.2,4
Metarhizium sp.FAW,C1,2,C.butyrospermi,0,30.1,5
Metarhizium sp.FAW,C1,2,FAW,3,16.8,1
Metarhizium sp.FAW,C1,2,FAW,0,18.51,2
Metarhizium sp.FAW,C1,2,FAW,0,19.45,3
Metarhizium sp.FAW,C1,2,FAW,1,16.5,4
Metarhizium sp.FAW,C1,2,FAW,0,16.51,5
Trichoderma sp.FAW,C1,2,C.butyrospermi,0,33.6,1
Trichoderma sp.FAW,C1,2,C.butyrospermi,3,27.3,2
Trichoderma sp.FAW,C1,2,C.butyrospermi,4,28.7,3
Trichoderma sp.FAW,C1,2,C.butyrospermi,2,28.5,4
Trichoderma sp.FAW,C1,2,C.butyrospermi,4,31.2,5
Trichoderma sp.FAW,C1,2,FAW,2,13.2,1
Trichoderma sp.FAW,C1,2,FAW,0,18.4,2
Trichoderma sp.FAW,C1,2,FAW,0,15.67,3
Trichoderma sp.FAW,C1,2,FAW,2,15.2,4
Trichoderma sp.FAW,C1,2,FAW,1,17.4,5
Control,Control,3,C.butyrospermi,0,25.6,1
Control,Control,3,C.butyrospermi,1,21.8,2
Control,Control,3,C.butyrospermi,2,19.7,3
Control,Control,3,C.butyrospermi,0,23.7,4
Control,Control,3,C.butyrospermi,0,25.9,5
Control,Control,3,FAW,0,19.4,1
Control,Control,3,FAW,0,20.5,2
Control,Control,3,FAW,0,15.3,3
Control,Control,3,FAW,0,15.3,4
Control,Control,3,FAW,0,17.6,5
M.pingshaense,C1,3,C.butyrospermi,0,23.45,1
M.pingshaense,C1,3,C.butyrospermi,1,30.8,2
M.pingshaense,C1,3,C.butyrospermi,1,28.4,3
M.pingshaense,C1,3,C.butyrospermi,0,32.45,4
M.pingshaense,C1,3,C.butyrospermi,2,29.67,5
M.pingshaense,C1,3,FAW,2,19.8,1
M.pingshaense,C1,3,FAW,1,19.7,2
M.pingshaense,C1,3,FAW,3,17.7,3
M.pingshaense,C1,3,FAW,2,16.5,4
